URL,Instagram,LinkedIn,WhatsApp,Twitter,YouTube,Email,Phone
https://www.audfaced.com,http://www.instagram.com/audfaced,https://www.linkedin.com/in/cat-tanchanco/,,,https://www.youtube.com/user/audfaced/,,
https://www.socialnews.xyz/,https://www.instagram.com/socialnewsxyz,https://www.linkedin.com/company/socialnewsxyz,,https://twitter.com/SocialNewsXYZ,https://www.youtube.com/channel/UCcvl7V79V0dJi6RA0sV7XJw?sub_confirmation=1,,
https://fanlink.to/ZONES,,,,,,,
https://tickets.computicket.com/event/the_soil/7223631/7223668/14848,,,,,,,
https://www.twitch.tv/carpe,,,,,,,
https://www.slightlypretentious.co/best-bars-in-the-world/,https://www.instagram.com/seanogle,,,https://www.twitter.com/seanogle,https://www.youtube.com/locationrebel,,
https://www.skuola.net/,https://www.instagram.com/skuolanet/,,,,https://www.youtube.com/channel/UCA1t5LNIyfmXZqGuUaY2oww,,
https://www.facebook.com/VH1/,,,,,,,
https://rabbidaniellapin.com/,,"https://www.linkedin.com/in/rabbi-daniel-lapin/, https://www.linkedin.com/in/susan-lapin-4a8498179/",,https://twitter.com/DanielLapin,http://www.youtube.com/c/RabbiDanielLapin_AncientJewishWisdom,"admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com, admin@rabbidaniellapin.com",
https://www.americanbluesscene.com/,https://www.instagram.com/ameribluesscene/,,,https://twitter.com/AmeriBluesScene,,,
https://www.ces.tech/,https://www.instagram.com/ces/,https://www.linkedin.com/showcase/10987537/admin/,,https://twitter.com/ces,http://www.youtube.com/user/cesonthetube,,
https://www.abiliodiniz.com.br/,"https://www.instagram.com/abilio_diniz/, https://www.instagram.com/p/BBHBucZi9aE/","https://www.linkedin.com/in/abiliodiniz, https://www.linkedin.com/in/abiliodiniz/, https://www.linkedin.com/shareArticle?mini=true&summary=Uns%20sonham%20com%20o%20sucesso,%20n%C3%B3s%20acordamos%20cedo%20e%20trabalhamos%20duro%20para%20consegui-lo.&title=Abilio%20Diniz%20-%20Frases&url=https%3A%2F%2Fwww.abiliodiniz.com.br%2F%3Fpost_type%3Dpost%26p%3D115, https://www.linkedin.com/shareArticle?mini=true&summary=Quero%20ser%20hoje%20melhor%20do%20que%20fui%20ontem%20e%20amanh%C3%A3,%20melhor%20do%20que%20sou%20hoje.&title=Abilio%20Diniz%20-%20Frases&url=https%3A%2F%2Fwww.abiliodiniz.com.br%2F%3Fpost_type%3Dpost%26p%3D113, https://www.linkedin.com/shareArticle?mini=true&summary=Ser%20criativo%20%C3%A9%20fazer%20diferente,%20inovar%20e%20reinventar%20para%20criar%20o%20futuro.&title=Abilio%20Diniz%20-%20Frases&url=https%3A%2F%2Fwww.abiliodiniz.com.br%2F%3Fpost_type%3Dpost%26p%3D111",,"https://twitter.com/abilio_diniz, https://twitter.com/intent/tweet?text=Uns%20sonham%20com%20o%20sucesso,%20n%C3%B3s%20acordamos%20cedo%20e%20trabalhamos%20duro%20para%20consegui-lo.&url=https://www.abiliodiniz.com.br/frases/, https://twitter.com/intent/tweet?text=Quero%20ser%20hoje%20melhor%20do%20que%20fui%20ontem%20e%20amanh%C3%A3,%20melhor%20do%20que%20sou%20hoje.&url=https://www.abiliodiniz.com.br/frases/, https://twitter.com/intent/tweet?text=Ser%20criativo%20%C3%A9%20fazer%20diferente,%20inovar%20e%20reinventar%20para%20criar%20o%20futuro.&url=https://www.abiliodiniz.com.br/frases/","https://www.youtube.com/channel/UCn5H0mDQEQoV1wy0q_INvPQ, https://www.youtube.com/user/videoAbilioDiniz",,
